# (1) Identification number.
# (2) Right Ascension [deg]
# (3) Declination [deg]
# (4) F814W magnitudes in the VEGA system
# (5) F814W magnitude errors
# (6) F606W magnitude in the VEGA system
# (7) F606W magnitude errors
#
#    (1)  (2)         (3)          (4)      (5)    (6)      (7)
     86   0.76989197  16.08284280  25.803   0.036  27.469   0.067
     87   0.77530169  16.08598182  25.911   0.040  27.191   0.063
     88   0.77578939  16.06965245  26.354   0.063  26.735   0.043
     89   0.75385268  16.08194656  26.021   0.050  27.043   0.051
     90   0.76362752  16.08922824  26.474   0.067  26.800   0.045
     91   0.75719664  16.07296202  26.329   0.079  26.820   0.053
     92   0.73586730  16.06017916  26.357   0.073  26.765   0.046
     93   0.73876743  16.06076484  25.849   0.043  27.966   0.131
     94   0.72478655  16.08018751  25.926   0.052  28.120   0.138
     95   0.74279571  16.08096064  25.978   0.047  29.095   0.340
     96   0.77126937  16.06955092  25.967   0.047  27.150   0.054
     97   0.75548169  16.04101345  26.256   0.061  26.831   0.051
     98   0.76483638  16.08503816  26.574   0.076  26.712   0.044
     99   0.73690867  16.08146115  25.848   0.044  27.479   0.080
    100   0.76301020  16.08727686  25.835   0.043  28.118   0.130
    101   0.73313932  16.08492222  26.097   0.053  26.962   0.052
    102   0.74859127  16.09779163  25.941   0.044  27.197   0.054
    103   0.75025377  16.09431496  26.132   0.059  26.937   0.065
    104   0.77416945  16.06755425  25.936   0.048  28.568   0.207
    105   0.74001340  16.09987979  25.944   0.042  27.179   0.055
    106   0.74594421  16.05271223  26.329   0.065  26.820   0.049
    107   0.76544484  16.08685766  26.497   0.066  26.774   0.040
    108   0.72756506  16.06275217  26.659   0.087  26.708   0.050
    109   0.74062873  16.10527786  25.879   0.045  27.512   0.080
    110   0.71606915  16.06452877  26.235   0.058  26.926   0.048
    111   0.74115167  16.09706118  26.145   0.050  27.019   0.052
    112   0.75913285  16.09560930  25.944   0.042  27.306   0.060
    113   0.74230313  16.05075768  25.994   0.047  27.165   0.062
    114   0.77144007  16.05810073  26.384   0.064  26.841   0.051
    115   0.71237273  16.06005079  26.622   0.081  26.803   0.044
    116   0.72242277  16.05369900  26.467   0.072  26.774   0.042
    117   0.76612904  16.05406299  25.915   0.044  27.649   0.086
    118   0.74852494  16.08012782  25.963   0.044  27.407   0.069
    119   0.72038129  16.07256715  26.262   0.067  26.952   0.057
    120   0.74901751  16.07953340  25.956   0.052  27.598   0.084
    121   0.73519871  16.10191975  26.574   0.070  26.823   0.050
    122   0.76280899  16.06404012  26.719   0.095  26.828   0.046
    123   0.74534814  16.09549727  26.247   0.059  26.982   0.049
    124   0.73177357  16.06287600  26.428   0.069  26.931   0.053
    125   0.76695417  16.05732426  25.953   0.044  27.722   0.097
    126   0.74700507  16.07625238  26.082   0.057  27.424   0.077
    127   0.75282841  16.08625589  25.946   0.049  27.863   0.101
    128   0.75955760  16.07910831  25.959   0.042  27.760   0.100
    129   0.76687901  16.06692655  26.000   0.045  28.571   0.206
    130   0.73858447  16.04286959  26.563   0.075  26.897   0.045
    131   0.76187990  16.08449434  26.016   0.042  29.132   0.306
    132   0.75993377  16.07028557  26.462   0.067  26.888   0.049
    133   0.74912287  16.06450207  26.065   0.051  27.587   0.097
    134   0.77244330  16.07132440  25.919   0.047  27.921   0.114
    135   0.73347913  16.07136851  25.982   0.048  28.280   0.145
    136   0.76804587  16.06097830  26.035   0.049  28.349   0.157
    137   0.72327757  16.05402322  26.124   0.053  27.196   0.060
    138   0.76377140  16.09152954  26.001   0.042  28.127   0.117
    139   0.74668927  16.09942735  26.171   0.049  27.185   0.062
    140   0.73335898  16.10041606  26.821   0.088  26.897   0.045
    141   0.76394285  16.04353769  26.471   0.067  27.014   0.060
    142   0.74606919  16.07607773  26.857   0.091  26.911   0.048
    143   0.72623430  16.07935169  26.838   0.098  26.882   0.051
    144   0.76448938  16.07327019  26.153   0.052  27.228   0.064
    145   0.74124547  16.07124945  26.533   0.078  26.978   0.056
    146   0.77748464  16.08306197  26.414   0.060  27.056   0.057
    147   0.73196906  16.05035598  26.060   0.050  28.107   0.137
    148   0.72670323  16.07021662  26.506   0.079  26.969   0.064
    149   0.74742248  16.05460583  26.154   0.050  27.437   0.071
    150   0.73435789  16.10045099  26.126   0.051  27.577   0.086
    151   0.73843199  16.05147171  26.159   0.048  27.343   0.060
    152   0.76171122  16.08481976  26.026   0.052  28.288   0.135
    153   0.76014829  16.09281266  26.677   0.081  26.978   0.047
    154   0.73973837  16.09917570  26.423   0.067  27.257   0.071
    155   0.76551049  16.07956988  26.185   0.048  27.308   0.064
    156   0.75120664  16.09610371  26.624   0.068  27.022   0.050
    157   0.75483672  16.05008688  26.142   0.051  27.723   0.095
    158   0.75484894  16.07828466  26.714   0.085  27.010   0.052
    159   0.71714682  16.06607759  26.093   0.049  28.257   0.155
    160   0.77912489  16.07548058  26.112   0.052  27.680   0.091
    161   0.73666572  16.08212674  26.818   0.090  26.985   0.050
    162   0.75077764  16.09743937  26.266   0.051  27.319   0.062
    163   0.72979366  16.07719506  26.287   0.067  27.328   0.075
    164   0.75972560  16.04431316  26.304   0.066  27.474   0.070
    165   0.73345092  16.04978321  26.655   0.072  27.056   0.055
    166   0.72498197  16.08970612  26.806   0.097  27.022   0.057
    167   0.75775076  16.04680014  26.397   0.065  27.219   0.066
    168   0.75829752  16.04134450  26.530   0.069  27.124   0.059
    169   0.76649013  16.06843692  26.201   0.051  27.514   0.078
    170   0.77486773  16.07796791  26.277   0.056  27.337   0.068
    171   0.74600391  16.04698576  26.216   0.050  27.507   0.076
    172   0.74917345  16.05654923  26.122   0.052  28.138   0.122
    173   0.73451016  16.08724942  26.307   0.069  28.424   0.164
    174   0.74797469  16.08421794  26.157   0.052  28.558   0.174
    175   0.76058335  16.07103109  26.400   0.069  27.262   0.063
    176   0.77982713  16.08316710  26.140   0.057  27.868   0.096
    177   0.76283191  16.08858696  26.655   0.075  27.151   0.054
    178   0.77582994  16.07678604  26.614   0.112  27.166   0.073
    179   0.74557939  16.04423401  26.249   0.060  27.657   0.084
    180   0.75524663  16.05603113  26.275   0.067  28.775   0.217
    181   0.74325934  16.06945135  26.179   0.053  27.671   0.088
    182   0.74602218  16.05045458  26.462   0.064  27.206   0.063
    183   0.74585278  16.04183142  26.386   0.066  27.340   0.071
    184   0.75404145  16.04832431  26.624   0.078  27.151   0.055
    185   0.76676917  16.07387525  26.614   0.072  27.194   0.059
    186   0.73306317  16.10447154  26.269   0.056  27.649   0.093
    187   0.74352771  16.09590702  26.762   0.082  27.123   0.059
    188   0.73131367  16.10436549  26.191   0.060  27.753   0.105
    189   0.73615336  16.07450260  26.743   0.083  27.125   0.063
    190   0.76340855  16.05074060  26.387   0.069  27.407   0.068
